Jaar;Maand;Segment;Energietype;Contracttype;Handelsnaam;Productnaam;Vast/variabel/dynamisch;Prijsonderdeel;Prijs;source_file;Unnamed: 10
2026;apr;Woning;Gas;Afname;Mogelijk bij elke energieleverancier;Sociaal tarief;Vast;Enkelvoudige meter dagtarief;5,05;master_vast_2026.csv;
2026;apr;Woning;Gas;Afname;Mogelijk bij elke energieleverancier;Sociaal tarief;Vast;Vaste vergoeding;0;master_vast_2026.csv;
2026;apr;Woning;Elektriciteit;Afname;Mogelijk bij elke energieleverancier;Sociaal tarief;Vast;Enkelvoudige meter dagtarief;26,27;master_vast_2026.csv;
2026;apr;Woning;Elektriciteit;Afname;Mogelijk bij elke energieleverancier;Sociaal tarief;Vast;Vaste vergoeding;0;master_vast_2026.csv;
2026;jun;Woning;Elektriciteit;Afname;EnergyVision;Goedkope Stroom 3 jaar vast;Vast;Enkelvoudige meter dagtarief;28,32;master_vast_2026.csv;
2026;jun;Woning;Elektriciteit;Afname;EnergyVision;Goedkope Stroom 3 jaar vast;Vast;Vaste vergoeding;74,99;master_vast_2026.csv;
2026;jun;Woning;Gas;Afname;Mega (handelsnaam van Power Online);Zen 3 Jaar Vast;Vast;Enkelvoudige meter dagtarief;6,01;master_vast_2026.csv;
2026;jun;Woning;Gas;Afname;Mega (handelsnaam van Power Online);Zen 3 Jaar Vast;Vast;Vaste vergoeding;111,3;master_vast_2026.csv;
2026;jun;Woning;Elektriciteit;Afname;Bolt;Plenty Vast;Vast;Enkelvoudige meter dagtarief;29,16;master_vast_2026.csv;
2026;jun;Woning;Elektriciteit;Afname;Bolt;Plenty Vast;Vast;Vaste vergoeding;71,88;master_vast_2026.csv;
2026;jun;Woning;Elektriciteit;Afname;Mega (handelsnaam van Power Online);Zen 3 Jaar Vast;Vast;Enkelvoudige meter dagtarief;29,27;master_vast_2026.csv;
2026;jun;Woning;Elektriciteit;Afname;Mega (handelsnaam van Power Online);Zen 3 Jaar Vast;Vast;Vaste vergoeding;111,3;master_vast_2026.csv;
